epoch,train_loss,train_acc,test_loss,test_acc
0,3.9706820321974354,0.14719626168224298,2.862922661741015,0.31321099674972913
1,2.395527932131402,0.42070677570093457,1.758836034318091,0.5638881365113759
2,1.6754593785121061,0.578125,1.1564296664486469,0.7053764897074756
3,1.2753021940937108,0.6667640186915887,0.8941812145877892,0.7751218851570965
4,1.002299561713622,0.7308703271028038,0.6840805356771174,0.8118905742145178
5,0.8458504316127189,0.7648948598130841,0.5844853098543596,0.8482191224268689
6,0.6834698660629932,0.8173189252336449,0.43486841146270155,0.8855972372697725
7,0.589423376335719,0.838054906542056,0.3495146412087578,0.9067239978331527
8,0.4552662078047467,0.8713492990654206,0.25644538795549265,0.934419014084507
9,0.3880363184366828,0.8882885514018691,0.22346715364132969,0.9383802816901409
10,0.33034517995090545,0.9024532710280374,0.17494126867739038,0.9452193932827735
11,0.2844804368356121,0.9208528037383178,0.14278132274983005,0.9619447453954496
12,0.2547166767991453,0.927570093457944,0.1658827554324681,0.9546654929577465
13,0.24861964280411078,0.9265478971962616,0.1285417450732932,0.9617077464788732
14,0.2114378151985297,0.9396904205607477,0.07797825348589726,0.9810739436619719
15,0.192572586795437,0.9421728971962616,0.08848944989452795,0.9779929577464789
16,0.22785538583819834,0.9338492990654206,0.0692196633981567,0.9786700975081256
17,0.1521051403887953,0.9550233644859814,0.07111202224328274,0.9845950704225352
18,0.1412814340171204,0.961302570093458,0.055099695436426926,0.9828345070422535
19,0.16229624715231133,0.9537091121495327,0.067963864973215,0.9784330985915493
