epoch,train_loss,train_acc,test_loss,test_acc
0,4.111373583847117,0.11214953271028037,3.0393591246134797,0.2807421451787649
1,2.6480815867397274,0.35324182242990654,2.1886968503535633,0.4480295232936078
2,2.073765056712605,0.47225467289719625,1.7697098557378206,0.5463840736728061
3,1.6650769133294854,0.5775408878504673,1.4115478929499505,0.6323469664138678
4,1.4441248612983204,0.625,1.2467953017060185,0.6791711809317443
5,1.2820942130322768,0.6625292056074766,1.1691193020259831,0.6915289815817985
6,1.0839034427549237,0.7083820093457944,0.9689731144569289,0.7449553087757312
7,1.0062019340345794,0.7304322429906542,0.8829164577411933,0.7645585048754063
8,0.8976443103540723,0.7532126168224299,0.8988287488759403,0.7542321235102925
9,0.7869543465916241,0.7854848130841121,0.6447513537927413,0.8169352654387866
10,0.6965182523164793,0.8078271028037384,0.677475135511076,0.8089788732394366
11,0.6613963284294739,0.8148364485981309,0.553797854609053,0.8453074214517876
12,0.605963406370622,0.8310455607476636,0.5332830061375256,0.8473049837486457
13,0.5721885468636718,0.8360105140186916,0.5042309251574564,0.8508261105092091
14,0.5291058883995332,0.8510514018691588,0.4120671405443843,0.8855972372697725
15,0.5012699904216227,0.861857476635514,0.4296101183223892,0.8791982665222101
16,0.46718793828910754,0.8647780373831776,0.4423213741597785,0.8701923076923077
17,0.4511631454610936,0.8674065420560748,0.35499017528245147,0.8966007583965331
18,0.3890881341246662,0.889748831775701,0.3313635762151278,0.8983274647887324
19,0.38107869777584746,0.8917932242990654,0.3610188047021208,0.8910820693391115
